target,right,left,
50,49.29,49.8,
50,49.52,49.96,
50,50.12,50.04,
50,49.6,49.8,
50,49.52,49.37,
50,50.12,50,
50,49.76,50.65,
50,49.29,49.84,
50,49.52,50,
50,50.12,50.04,
50,49.6,49.84,
50,49.6,49.41,
50,50.16,50.08,
50,49.92,50.69,
50,49.33,49.88,
50,49.6,49.68,
50,50.08,50.16,
50,49.76,49.88,
50,49.64,49.6,
50,50.16,50.24,
50,49.88,50.85,
50,49.33,49.96,
50,49.64,49.72,
50,50.16,50.2,
50,49.8,50.04,
50,49.72,49.68,
50,50.24,50.28,
50,50,50.98,
50,49.76,50,
50,49.76,50.16,
50,50.16,50.24,
50,49.8,49.96,
50,49.76,49.6,
50,50.2,50.24,
50,49.96,50.94,
50,49.8,50.04,
50,49.72,50.2,
50,50.36,50.32,
50,49.96,49.96,
50,49.84,49.56,
50,50.36,50.2,
50,50.08,50.85,
50,49.84,50,
50,49.76,50.12,
50,50.32,50.2,
50,50,49.96,
50,49.8,49.56,
50,50.32,50.12,
50,50.12,50.73,
50,49.76,49.88,
50,49.8,50,
50,50.32,50.08,
50,49.96,49.88,
50,49.76,49.49,
50,50.32,50.08,
50,50.04,50.73,
50,49.72,49.8,
50,49.72,49.96,
50,50.16,50.04,
50,49.88,49.84,
50,49.41,49.52,
50,50.24,50.08,
50,49.96,50.77,
50,49.76,49.88,
50,49.76,50,
50,50.12,50.08,
50,49.88,49.72,
50,49.45,49.41,
50,50.24,50.04,
50,49.96,50.77,
50,49.84,49.8,
50,49.72,50,
50,50.2,50.16,
50,49.88,49.8,
50,49.41,49.41,
50,50.2,50.04,
50,50,50.73,
50,49.8,49.84,
50,49.68,50,
50,50.24,50.08,
50,49.88,49.84,
50,49.37,49.41,
50,50.24,50.24,
50,49.76,50.65,
50,49.72,49.72,
50,50,49.41,
50,50.2,50.28,
50,49.88,49.8,
50,49.33,49.45,
50,50.2,50.08,
50,49.96,50.65,
50,49.64,49.88,
50,49.68,49.52,
50,50.16,50.04,
50,49.84,49.92,
50,49.37,49.52,
50,50.24,50.12,
50,49.96,50.85,
50,49.64,49.92,
50,49.68,49.68,
50,50.2,50.24,
50,49.72,49.96,
50,49.41,49.64,
50,49.68,50.28,
50,49.96,50.98,
50,49.76,50.08,
50,49.76,50.2,
50,50.24,50.32,
50,49.92,50,
50,49.45,49.6,
50,49.76,50.28,
50,50.04,50.98,
50,49.88,50.08,
50,49.76,50.32,
50,50.32,50.36,
50,49.76,50.12,
50,49.41,49.68,
50,49.72,50.32,
50,50.04,50.98,
50,49.88,50.08,
50,49.84,50.28,
50,50.28,50.32,
50,50,50.2,
50,49.45,49.88,
50,49.72,50.4,
50,50.08,51.15,
50,49.76,50.24,
50,49.8,50.32,
50,50.32,50.48,
50,49.96,50.24,
50,49.52,49.92,
50,49.8,50.48,
50,50.12,51.23,
50,49.8,49.92,
50,49.92,50.48,
50,50.32,50.61,
50,50,50.32,
50,49.52,50.12,
50,49.8,50.57,
50,50,51.23,
50,49.76,49.96,
50,49.76,50.57,
50,50.24,50.61,
50,49.92,50.36,
50,49.49,50.16,
50,49.8,50.61,
50,50.08,50.44,
50,49.88,50.04,
50,49.8,50.57,
50,50.24,50.65,
50,49.8,50.53,
50,49.41,50.16,
50,49.68,50.69,
50,50,50.44,
50,49.84,50.12,
50,49.76,50.73,
50,50.28,51.44,
50,49.92,50.53,
50,49.52,50.24,
50,49.72,50.81,
50,50.08,50.48,
50,49.84,50.12,
50,49.8,50.94,
50,50.32,51.36,
50,50.04,50.57,
50,49.52,50.73,
50,49.76,50.77,
50,50.12,50.57,
50,49.84,50.16,
50,49.84,50.77,
50,50.44,51.44,
50,49.96,50.57,
50,49.52,50.69,
50,49.88,50.77,
50,50.08,50.65,
50,49.84,50.2,
50,49.84,50.77,
50,50.4,51.48,
50,50,50.16,
50,49.6,50.69,
50,49.88,50.77,
50,50.12,50.48,
50,49.96,50.24,
50,49.92,50.73,
50,50.44,50.53,
50,50,50.12,
50,49.6,50.81,
50,49.88,50.73,
50,50.2,50.57,
50,50.12,50.24,
50,49.96,50.77,
50,50.44,50.57,
50,50.08,50.2,
50,49.64,50.65,
50,49.84,51.48,
50,50.28,50.57,
50,50.04,50.24,
50,50,50.85,
50,50.4,50.53,
50,50.08,50.16,
50,49.6,50.73,
50,49.84,51.31,
50,50.2,50.48,
50,49.96,50.2,
50,49.96,50.69,
50,50.48,50.44,
50,50.12,50.04,
50,49.68,50.65,
50,50,51.27,
50,50.2,50.4,
50,50,50.53,
50,49.92,50.61,
50,50.36,50.44,
50,50.08,50.08,
50,49.68,50.57,
50,50,51.36,
50,50.2,50.04,
50,50.12,50.53,
50,50,50.65,
50,50.4,50.4,
50,50.08,50.08,
50,49.56,50.61,
50,49.92,51.36,
50,50.2,50,
50,50.04,50.53,
50,49.88,50.69,
50,50.57,50.4,
50,50.12,50.16,
50,49.64,50.53,
50,50.57,50.4,
50,50.24,49.96,
50,50.04,50.53,
50,50,50.61,
50,50.44,50.36,
50,50.12,50.12,
50,49.56,50.61,
50,50.48,50.53,
50,50.24,50.04,
50,49.92,50.53,
50,49.92,51.31,
50,50.4,50.44,
50,50.12,50.08,
50,49.64,50.65,
50,50.4,50.36,
50,50.2,49.96,
50,50,50.57,
50,49.92,51.31,
50,50.32,50.36,
50,50.04,50.08,
50,49.6,50.69,
50,50.44,50.4,
50,50.12,49.96,
50,50,50.65,
50,50,51.27,
50,50.36,50.4,
50,50.08,50.57,
50,49.56,50.61,
50,50.4,50.36,
50,50.2,50,
50,50,50.61,
50,49.84,51.31,
50,50.44,50.4,
50,50.04,50.53,
50,49.56,50.48,
50,50.44,50.4,
50,50.24,50.04,
50,49.92,50.61,
50,49.96,51.27,
50,50.53,49.96,
50,50.12,50.48,
50,49.68,50.65,
50,50.53,50.32,
50,50.28,50.08,
50,50.08,50.57,
50,50.04,51.23,
50,50.44,49.96,
50,50.12,50.53,
50,49.68,50.61,
50,50.48,50.36,
50,50.2,50.12,
50,50.04,50.57,
50,50,50.36,
50,50.48,49.96,
50,50.08,50.53,
50,49.64,51.4,
50,50.44,50.4,
50,50.2,50.08,
50,50.08,50.61,
50,49.96,50.32,
50,50.57,49.92,
50,50.28,50.48,
50,50.04,51.23,
50,50.53,50.24,
50,50.32,49.92,
50,50.08,50.53,
50,50,50.24,
50,50.57,49.84,
0,50.28,50.4,
0,49.56,50.77,
0,48.15,47.97,
0,45.82,45.82,
0,43.34,44.64,
0,41.83,43.65,
0,39.71,41.09,
0,37.27,40.06,
0,36.19,38.84,
0,33.84,37.22,
0,32.5,36.87,
0,30.59,34.47,
0,29.86,33.39,
0,28.79,32.13,
0,27.69,31.44,
0,25.58,30.64,
0,24.39,28.9,
0,23.73,28.14,
0,22.93,27.16,
0,22.24,26.52,
0,21.44,25.9,
0,21.44,25.16,
0,20.52,24.11,
0,19.7,22.89,
0,18.76,22.18,
0,17.81,22.18,
0,17.25,21.37,
0,17.25,20.72,
0,16.5,20.18,
0,15.93,19.45,
0,15.93,18.86,
0,15.21,18.45,
0,14.48,18.45,
0,14.48,17.46,
0,13.83,16.84,
0,13.83,16.08,
0,13.16,16.08,
0,13.16,15.54,
0,12.43,15.09,
0,11.97,15.09,
0,11.97,14.46,
0,11.38,14.46,
0,11.38,13.94,
0,11,13.52,
0,11,13.52,
0,11,12.7,
0,10.46,12.7,
0,10.46,12.21,
0,9.83,12.21,
0,9.83,11.57,
0,9.36,11.57,
0,9.36,11.04,
0,9.36,11.04,
0,8.83,10.6,
0,8.83,10.6,
0,8.83,10.6,
0,8.18,9.99,
0,8.18,9.99,
0,8.18,9.53,
0,7.82,9.53,
0,7.82,9.53,
0,7.82,9.06,
0,7.22,9.06,
0,7.22,9.06,
0,7.22,8.29,
0,7.22,8.29,
0,6.78,8.29,
0,6.78,7.81,
0,6.78,7.81,
0,6.78,7.81,
0,6.29,7.1,
0,6.29,7.1,
0,6.29,7.1,
0,6.29,7.1,
0,5.68,6.53,
0,5.68,6.53,
0,5.68,6.53,
0,5.68,6.53,
0,5.68,5.98,
0,5.32,5.98,
0,5.32,5.98,
0,5.32,5.98,
0,5.32,5.98,
0,5.32,5.32,
